
A T O M   T Y P E S

IDX	TYPE	RING
1	C_3	NO
2	O_2	NO
3	C_R	AR
4	C_R	AR
5	C_R	AR
6	C_R	AR
7	C_R	AR
8	C_R	AR
9	N_R	AR
10	C_R	AR
11	N_R	AR
12	S_3+2	NO
13	O_2	NO
14	C_3	NO
15	C_R	AR
16	N_R	AR
17	C_R	AR
18	C_R	AR
19	C_3	NO
20	C_R	AR
21	O_2	NO
22	C_3	NO
23	C_R	AR
24	C_3	NO
25	H_	NO
26	H_	NO
27	H_	NO
28	H_	NO
29	H_	NO
30	H_	NO
31	H_	NO
32	H_	NO
33	H_	NO
34	H_	NO
35	H_	NO
36	H_	NO
37	H_	NO
38	H_	NO
39	H_	NO
40	H_	NO
41	H_	NO
42	H_	NO
43	H_	NO

S E T T I N G   U P   C A L C U L A T I O N S

SETTING UP BOND CALCULATIONS...
SETTING UP ANGLE CALCULATIONS...
SETTING UP TORSION CALCULATIONS...
SETTING UP OOP CALCULATIONS...
SETTING UP VAN DER WAALS CALCULATIONS...

S T E E P E S T   D E S C E N T

STEPS = 19000

STEP n       E(n)         E(n-1)    
------------------------------------
    0     681.861      ----
   10    506.94024    509.43140
   20    491.25735    492.37890
   30    482.65135    483.35574
   40    476.81209    477.31677
   50    472.47580    472.86019
   60    469.10941    469.41209
   70    466.42474    466.66857
   80    464.23967    464.43982
   90    462.42913    462.59628
  100    460.90352    461.04542
  110    459.59724    459.71961
  120    458.46168    458.56877
  130    457.46049    457.55548
  140    456.56629    456.65160
  150    455.75838    455.83583
  160    455.02093    455.09193
  170    454.34182    454.40745
  180    453.71168    453.77276
  190    453.12318    453.18037
  200    452.57055    452.62438
  210    452.04922    452.10009
  220    451.55549    451.60374
  230    451.08636    451.13228
  240    450.63937    450.68317
  250    450.21245    450.25432
  260    449.80386    449.84396
  270    449.41211    449.45059
  280    449.03592    449.07290
  290    448.67417    448.70975
  300    448.32586    448.36014
  310    447.99012    448.02318
  320    447.66616    447.69807
  330    447.35327    447.38410
  340    447.05080    447.08061
  350    446.75815    446.78701
  360    446.47481    446.50276
  370    446.20026    446.22735
  380    445.93405    445.96032
  390    445.67575    445.70125
  400    445.42498    445.44975
  410    445.18138    445.20544
  420    444.94459    444.96799
  430    444.71432    444.73707
  440    444.49025    444.51240
  450    444.27212    444.29368
  460    444.05966    444.08068
  470    443.85265    443.87312
  480    443.65083    443.67080
  490    443.45402    443.47349
  500    443.26200    443.28100
  510    443.07458    443.09313
  520    442.89160    442.90972
  530    442.71288    442.73057
  540    442.53826    442.55556
  550    442.36761    442.38451
  560    442.20077    442.21729
  570    442.03761    442.05377
  580    441.87800    441.89382
  590    441.72184    441.73731
  600    441.56899    441.58414
  610    441.41935    441.43418
  620    441.27281    441.28734
  630    441.12928    441.14351
  640    440.98866    441.00260
  650    440.85086    440.86452
  660    440.71579    440.72919
  670    440.58338    440.59651
  680    440.45355    440.46643
  690    440.32621    440.33885
  700    440.20131    440.21370
  710    440.07876    440.09092
  720    439.95850    439.97043
  730    439.84047    439.85218
  740    439.72460    439.73610
  750    439.61083    439.62213
  760    439.49912    439.51021
  770    439.38940    439.40029
  780    439.28162    439.29232
  790    439.17572    439.18623
  800    439.07165    439.08198
  810    438.96936    438.97952
  820    438.86881    438.87879
  830    438.76994    438.77976
  840    438.67272    438.68238
  850    438.57710    438.58660
  860    438.48305    438.49239
  870    438.39052    438.39971
  880    438.29947    438.30851
  890    438.20985    438.21876
  900    438.12165    438.13041
  910    438.03481    438.04344
  920    437.94931    437.95781
  930    437.86512    437.87349
  940    437.78218    437.79042
  950    437.70048    437.70860
  960    437.61999    437.62799
  970    437.54066    437.54855
  980    437.46248    437.47025
  990    437.38540    437.39307
 1000    437.30941    437.31697
 1010    437.23447    437.24193
 1020    437.16057    437.16792
 1030    437.08769    437.09494
 1040    437.01576    437.02292
 1050    436.94477    436.95184
 1060    436.87472    436.88169
 1070    436.80555    436.81243
 1080    436.73726    436.74406
 1090    436.66983    436.67654
 1100    436.60323    436.60986
 1110    436.53742    436.54397
 1120    436.47239    436.47886
 1130    436.40813    436.41452
 1140    436.34463    436.35095
 1150    436.28187    436.28812
 1160    436.21981    436.22599
 1170    436.15843    436.16455
 1180    436.09771    436.10376
 1190    436.03763    436.04361
 1200    435.97814    435.98407
 1210    435.91923    435.92510
 1220    435.86088    435.86669
 1230    435.80306    435.80882
 1240    435.74575    435.75147
 1250    435.68895    435.69461
 1260    435.63266    435.63827
 1270    435.57684    435.58241
 1280    435.52145    435.52697
 1290    435.46648    435.47197
 1300    435.41186    435.41731
 1310    435.35760    435.36301
 1320    435.30370    435.30908
 1330    435.25011    435.25546
 1340    435.19680    435.20213
 1350    435.14378    435.14907
 1360    435.09107    435.09634
 1370    435.03864    435.04388
 1380    434.98642    434.99164
 1390    434.93440    434.93960
 1400    434.88262    434.88779
 1410    434.83103    434.83619
 1420    434.77957    434.78471
 1430    434.72818    434.73332
 1440    434.67688    434.68201
 1450    434.62568    434.63081
 1460    434.57444    434.57958
 1470    434.52316    434.52830
 1480    434.47181    434.47696
 1490    434.42028    434.42545
 1500    434.36852    434.37371
 1510    434.31657    434.32179
 1520    434.26434    434.26958
 1530    434.21219    434.21732
 1540    434.16910    434.17249
 1550    434.13720    434.14035
 1560    434.10586    434.10899
 1570    434.07457    434.07770
 1580    434.04336    434.04648
 1590    434.01222    434.01534
 1600    433.98113    433.98424
 1610    433.95005    433.95316
 1620    433.91898    433.92209
 1630    433.88791    433.89102
 1640    433.85681    433.85993
 1650    433.82572    433.82883
 1660    433.79463    433.79775
 1670    433.76351    433.76663
 1680    433.73237    433.73549
 1690    433.70125    433.70437
 1700    433.67008    433.67320
 1710    433.63888    433.64200
 1720    433.60768    433.61081
 1730    433.57639    433.57953
 1740    433.54500    433.54814
 1750    433.51350    433.51667
 1760    433.48182    433.48500
 1770    433.44997    433.45318
 1780    433.41786    433.42109
 1790    433.38557    433.38882
 1800    433.35306    433.35632
 1810    433.32034    433.32363
 1820    433.28730    433.29062
 1830    433.25405    433.25738
 1840    433.22061    433.22398
 1850    433.18674    433.19014
 1860    433.15258    433.15602
 1870    433.11801    433.12146
 1880    433.08780    433.09017
 1890    433.06632    433.06842
 1900    433.04540    433.04749
 1910    433.02446    433.02656
 1920    433.00352    433.00561
 1930    432.98251    432.98461
 1940    432.96151    432.96361
 1950    432.94052    432.94263
 1960    432.91946    432.92158
 1970    432.89827    432.90040
 1980    432.87701    432.87914
 1990    432.85570    432.85783
 2000    432.83422    432.83638
 2010    432.81257    432.81474
 2020    432.79075    432.79294
 2030    432.76889    432.77108
 2040    432.74697    432.74917
 2050    432.72489    432.72711
 2060    432.70271    432.70494
 2070    432.68040    432.68264
 2080    432.65799    432.66023
 2090    432.63546    432.63773
 2100    432.61283    432.61510
 2110    432.59005    432.59233
 2120    432.56704    432.56935
 2130    432.54380    432.54614
 2140    432.52035    432.52271
 2150    432.49664    432.49903
 2160    432.47263    432.47505
 2170    432.44849    432.45091
 2180    432.42412    432.42657
 2190    432.39951    432.40198
 2200    432.37459    432.37711
 2210    432.34924    432.35180
 2220    432.32343    432.32604
 2230    432.29708    432.29975
 2240    432.27048    432.27307
 2250    432.24884    432.25063
 2260    432.23146    432.23318
 2270    432.21413    432.21587
 2280    432.19663    432.19839
 2290    432.17904    432.18081
 2300    432.16132    432.16309
 2310    432.14355    432.14533
 2320    432.12571    432.12750
 2330    432.10770    432.10951
 2340    432.08953    432.09135
 2350    432.07122    432.07306
 2360    432.05282    432.05467
 2370    432.03422    432.03609
 2380    432.01544    432.01733
 2390    431.99654    431.99843
 2400    431.97757    431.97947
 2410    431.95852    431.96044
 2420    431.93926    431.94119
 2430    431.91979    431.92175
 2440    431.90005    431.90205
 2450    431.88011    431.88211
 2460    431.85996    431.86199
 2470    431.83957    431.84163
 2480    431.81891    431.82100
 2490    431.79794    431.80005
 2500    431.77674    431.77887
 2510    431.75529    431.75746
 2520    431.73340    431.73561
 2530    431.71109    431.71333
 2540    431.68846    431.69074
 2550    431.66555    431.66787
 2560    431.64220    431.64455
 2570    431.61856    431.62093
 2580    431.59690    431.59873
 2590    431.58052    431.58210
 2600    431.56479    431.56636
 2610    431.54899    431.55058
 2620    431.53311    431.53471
 2630    431.51714    431.51874
 2640    431.50108    431.50269
 2650    431.48491    431.48653
 2660    431.46867    431.47031
 2670    431.45221    431.45387
 2680    431.43550    431.43719
 2690    431.41857    431.42027
 2700    431.40151    431.40322
 2710    431.38422    431.38597
 2720    431.36668    431.36844
 2730    431.34893    431.35072
 2740    431.33091    431.33273
 2750    431.31266    431.31450
 2760    431.29425    431.29610
 2770    431.27559    431.27747
 2780    431.25660    431.25851
 2790    431.23734    431.23928
 2800    431.21783    431.21979
 2810    431.19805    431.20004
 2820    431.17807    431.18009
 2830    431.15774    431.15979
 2840    431.13711    431.13920
 2850    431.11613    431.11824
